-284,23;-197,55
146,43;-72,86
-349,9;-357,3
-203,68;279,23
145,72;-394,56
-310,18;511,3
389,18;-132,6
244,71;-311,4
0,26;321,15
3,93;-224,09
-88,57;235,82
417,14;179,92
419,55;-512,83
-327,9;-3,66
-523,04;-495,01
369,59;-113
-305,77;-246,37
156,33;157,53
-231;-437,62
-11,93;332,4
349,96;-174,26
-325,64;124,23
-228,05;-64,55
486,88;42,41
344,68;504,55
-135,68;15,55
118,25;-411,99
18,17;-465,7
-312,27;461,5
488,34;11,79
259,19;41,38
41,77;-124,96
406,32;256,82
-329,01;-495,85
177;-2,76
-424,53;-92,62
137,16;-490,38
266,35;-476,49
-432,35;-120,15
-181,48;-229,04
-510,79;-420,49
-377,49;167,38
478,89;-386,46
507,38;358,99
-471,39;15,99
98,33;30,73
-31,44;-18,65
-401,19;503,09
446,49;-284,98
76,95;-254,96
-95,27;438,29
-209,46;42,84
99,3;-494,58
-520,4;519,38
273,97;470,98
-12,85;358,51
-343,14;374,84
530,63;-412,76
-77;-285,43
166,57;-232,67
499,6;-239
-94,39;258,09
145,62;-359,09
477,41;500,09
-263,88;150,07
