-3,58;-6,48
37,77;-18,13
-19,48;-0,73
-35,65;38,24
26,88;-23,04
-34,11;0,19
14,84;22,73
-3,63;-27,44
0,13;-26,09
-1,93;-8,9
-3,84;-33,95
-32,91;3,43
23,28;35,94
-29,04;-23,43
-34,24;-4,07
-26,22;35,66
38,36;-39,65
-27,68;-18,93
18,61;8,27
39,64;-18,36
-0,73;-23,34
-31,52;33,69
-21,73;-0,88
36,61;-22,78
22,04;-36,59
-28,05;39,57
17,62;-12,5
13,42;7,54
9,26;11,17
-25,62;17,86
4,87;-31,08
7,38;-24,36
-17,83;-29,8
31,06;13,54
-35,26;-38,14
-12,82;-13,22
32,51;-23,63
19,45;-28,97
-5,58;23,85
-22,42;-30,17
-13,41;-32,84
-13,39;21,72
37,64;-5,75
27,57;11,42
-23,98;-36,39
17,45;33,73
-4,79;-38,97
-35,35;-22,64
-9,72;4,32
19,13;10,62
28,28;-36,56
3,47;5,91
-7,23;-5,47
13,13;-17,41
37,15;-5,31
19,48;5,24
16,36;16,5
-38,51;-25,38
28,5;-7,82
36,61;2,66
